costheta_jn luminosity_distance_Mpc m1_detector_frame_Msun m2_detector_frame_Msun lambda1 lambda2 spin1 spin2 costilt1 costilt2
-8.224022848657676077e-01 3.710878750315541197e+01 1.581046064124593364e+00 1.201382089820055121e+00 9.334854598130877434e+01 3.125853272257605795e+02 4.226112306369190358e-02 1.295443585614545210e-03 2.703856777656964416e-01 1.401617099092162255e-01
-7.694046900427214952e-01 3.593364627937928191e+01 1.503168263579503838e+00 1.261054857100826432e+00 1.333199780793926834e+02 1.355017270971242397e+03 2.100960371498090257e-02 2.947676587785601904e-02 3.118103812055664226e-01 3.689683902877152200e-01
-9.257526564891167542e-01 4.220290734455796411e+01 1.515621095832283105e+00 1.251026770611232797e+00 4.442260416334447655e+02 8.090500554674634941e+02 2.278150609377093110e-03 1.976032300094982333e-02 5.123191402161191288e-01 9.037313448447426012e-01
-7.361425199800921693e-01 3.387869850691739515e+01 1.559641600655078397e+00 1.216975140008809575e+00 3.083439635639414291e+02 8.792635362819939360e+01 1.892507442430017839e-02 1.028350038970260449e-02 3.614838401747141883e-01 2.413667627284543371e-01
-9.535538654186047625e-01 4.473452941318362974e+01 1.608082781514858395e+00 1.182570501486501779e+00 6.772357781243437103e+02 1.054571626896568432e+03 1.814078204673130745e-02 2.580990153125695477e-02 9.997864907495395137e-01 8.874016016214945068e-01
-6.772924741128670822e-01 3.162333888808993976e+01 1.571580468105028272e+00 1.208353780610401440e+00 5.984691675973308520e+02 1.291426955615209408e+03 3.847979571230502466e-02 2.433101044228851498e-02 3.295705241325960211e-01 4.360809010324573354e-01
-9.158759063649281051e-01 4.251265029765327341e+01 1.510448248670499538e+00 1.254830270269101877e+00 2.506955469702668893e+02 9.321538681827442474e+01 2.260253093792351578e-02 3.119042608093317362e-02 7.042589823518381476e-01 -7.284775410857878830e-01
-7.954352439613581183e-01 3.705860721020101778e+01 1.425081419656753168e+00 1.328158284019550051e+00 2.850753377376868229e+02 2.308491503913744225e+02 4.023259729312986255e-02 1.443500917233160423e-02 -1.886587451882167643e-01 -2.172635228490750470e-02
-9.007206071561686400e-01 4.117114548109598360e+01 1.414653965566112115e+00 1.337740656810769257e+00 2.787766634816890132e+02 2.943767885098121724e+02 3.284787311055135245e-02 2.989357036243739385e-02 -5.810682381348732939e-01 3.931160047981631100e-01
-9.729073030196775385e-01 4.590114104977994458e+01 1.459260442354248788e+00 1.297822809879000561e+00 9.865455702770398716e+01 1.599860157513828426e+03 4.299366711760362753e-02 2.507949548131445383e-03 2.643313864433556870e-01 -3.805892849809070499e-01
-9.526585206648684467e-01 4.373456958494016078e+01 1.469148867184435270e+00 1.289034460750327682e+00 1.376024494285056790e+02 3.423719070018852335e+02 8.794819589473796759e-03 3.261168501453037827e-02 4.691301184994209894e-01 -3.734244576048820763e-01
-6.636896479512087721e-01 3.193075294640277306e+01 1.658048639339834596e+00 1.149047591779549293e+00 2.574066253234881287e+02 1.147324705951679249e+02 4.324050266335432297e-02 1.118603557737503883e-02 6.078484624368328815e-01 6.334443966660023850e-01
-6.150584770688328762e-01 2.778778862651073922e+01 1.415170058212034121e+00 1.337279448824122863e+00 4.437736465663249419e+02 1.156715821770197010e+02 1.546298858055113190e-02 7.615294078115975376e-03 2.552946399598061272e-02 -9.386130432855644967e-01
-7.934666554046458931e-01 3.389265314224317649e+01 1.533713107042554258e+00 1.236782047455783795e+00 4.513260011946796340e+02 7.112767988384649698e+02 1.268781520195534987e-02 1.603454012368379575e-02 4.962574602529519763e-01 6.376660701052118130e-01
-9.365931883220286469e-01 4.337598342213834712e+01 1.387232221152998157e+00 1.364144277895525503e+00 6.434990050421151864e+02 5.256371780045835749e+02 2.395618061968211865e-02 2.028360207935933635e-02 -2.460073410161470464e-01 4.117640798238883515e-01
-8.139434523991447845e-01 3.844254724975251492e+01 1.436239625482323090e+00 1.317958257252962451e+00 2.277528719562087911e+00 3.658101805083737759e+02 3.263466359403665706e-03 4.394262196802348197e-02 4.062011199695938490e-01 -2.094458378441687862e-01
-6.338946996896989150e-01 3.015459718667475997e+01 1.543981569746306626e+00 1.228912544585410549e+00 2.980507079541858957e+02 3.804958362863184220e+02 2.666817981097540508e-02 2.508215103220971104e-02 7.396883078440542603e-01 -2.635658255348012902e-01
-7.725687110190379014e-01 3.593451848405427995e+01 1.634691800371636417e+00 1.164307665655578639e+00 7.451465387475788305e+01 7.189810255937205739e+02 2.356976722874862956e-02 2.897804151858430696e-02 7.988820430610701351e-01 4.235184867814010268e-01
-8.184704750423710262e-01 3.908229232571746081e+01 1.387787795271859581e+00 1.363519211753038141e+00 3.920714676615306189e+02 9.179300399757603657e+01 1.503427445610756169e-02 5.213328934870535732e-03 -4.846586013463315967e-01 -1.445729274713703494e-01
-8.548136767871469255e-01 3.862436229430335288e+01 1.457903677764761818e+00 1.298708090845674290e+00 3.334581173389369724e+01 1.625509740296124335e+02 7.780313237135141023e-03 4.778666640633525559e-02 -3.266164165641111811e-02 -2.238960641374651006e-01
-9.595850334788427194e-01 4.583140696584942475e+01 1.481067570855146620e+00 1.279194481474482004e+00 6.230303976061023832e+02 1.269165226619493069e+03 2.683574463592351689e-02 9.591900765610046273e-03 4.430102477090065438e-01 1.149153075127161833e-01
-6.130420901053433846e-01 2.873857053273616913e+01 1.489043141940167736e+00 1.272310833546376863e+00 2.332731175040649418e+02 2.007166513878181036e+02 7.552017509872856454e-04 8.994247779602155754e-03 3.412186507725593620e-01 -4.018601989188825274e-01
