costheta_jn luminosity_distance_Mpc m1_detector_frame_Msun m2_detector_frame_Msun lambda1 lambda2 spin1 spin2 costilt1 costilt2
-9.946997928085902219e-01 4.501139069691091521e+01 1.403526637457658932e+00 1.348289503945074852e+00 1.874346079214148375e+01 4.912413649487220368e+02 7.542849921027956935e-03 1.920309062163640459e-02 -2.026108563054590528e-01 -3.829547952457676430e-01
-8.224048346351672256e-01 3.696300687780545502e+01 2.003656572620177378e+00 9.696071635072632811e-01 9.587195782992941417e+01 1.763407431078457535e+02 2.608444160608924256e-01 1.319084792177128429e-01 5.952177852224160848e-01 -7.144881536736858996e-01
-9.417202834811454482e-01 4.506756718476005119e+01 1.582008412743569181e+00 1.200950938198483309e+00 7.861341450602091641e+01 6.659097283772626952e+02 2.526288914901651528e-01 2.953060953418800150e-01 4.573159593059894501e-01 -4.107149755863223617e-01
-5.002508461037088461e-01 2.700356667300468416e+01 1.477251564558756280e+00 1.282308723407445950e+00 7.529447615875860720e+02 1.036730091301361227e+02 6.916599182567713389e-02 1.298310125392480689e-02 6.865230830620815128e-02 -1.026222432397905227e-02
-9.735118717989927895e-01 4.523586409214803439e+01 1.589333135298131250e+00 1.195418962182974942e+00 2.884815162313528702e+01 7.843175718891853876e+02 5.790745791714597968e-02 7.040264209662817629e-01 1.512830904984862057e-01 -3.648064687776852305e-03
-7.938231252653140668e-01 3.671448363600008236e+01 1.527293871890424315e+00 1.241698314382505552e+00 2.316431845063829940e+02 3.057202342039125824e+02 3.462609942706688093e-01 5.293293536844391189e-01 3.156239754537236708e-01 -2.360125258936696113e-01
-7.170047956847567239e-01 3.511891089939103239e+01 1.677647308720120245e+00 1.136577287148282212e+00 1.308940188244509102e+02 3.312242778302394868e+02 5.494085917984467549e-02 6.088574080085185775e-02 5.171356516670385650e-01 1.659964456049423664e-01
-9.654638060248783571e-01 4.245350309208747319e+01 1.469225096763895566e+00 1.289254123620799497e+00 1.287059123817701902e+02 1.178588594907242850e+03 1.253363234001868796e-02 2.737748010882245023e-02 -7.841263320286138150e-01 8.442293260394513332e-01
-9.192604759539703130e-01 4.069591800558958283e+01 1.411064079970854257e+00 1.341393684698220179e+00 3.044440897945468691e+02 9.738991535498655594e+02 3.429262549672588700e-01 7.231044025915783768e-01 -3.447082418627593903e-01 1.846908593729898462e-01
-9.039794328549615177e-01 4.150987908365435430e+01 1.512044241193537975e+00 1.253768135493701585e+00 1.075388840376598694e+02 1.502124142566385899e+03 4.500040385314199032e-01 7.784524456179200413e-01 -1.268371394598006852e-01 9.957046408916854496e-02
-9.119540286246710092e-01 4.403459208734419406e+01 1.448989861928649425e+00 1.306912572836492759e+00 2.657373562792315624e+02 1.067872026203981477e+03 3.379451802196856147e-01 3.047279801959275614e-01 5.554698137896557641e-01 -5.978171551710672604e-01
-9.766036342179202911e-01 4.532804917225453067e+01 1.687590027741615595e+00 1.130383587566420767e+00 3.039178204907451004e+02 2.407619244432183336e+02 1.032017590609311669e-01 5.812364176867159532e-02 3.591961792285175425e-02 9.162674809125199715e-01
-9.156093618795815292e-01 4.118093185492272568e+01 1.944130237202895239e+00 9.955032207259999488e-01 1.752758978935447089e+02 1.237542349116286687e+03 1.081412368121570933e-01 8.884291756655675332e-02 7.884414579356783248e-01 4.791252284240866133e-01
-8.714701144922704090e-01 3.990150063444962569e+01 1.926673372827340192e+00 1.003314207420834103e+00 2.237375173956200314e+01 2.852120590762149845e+02 1.383075999241011565e-02 3.786222830888638646e-01 -6.273327535488368856e-01 6.034748182786509041e-01
-7.846361156016076199e-01 3.662971702356652060e+01 1.477831092913465483e+00 1.281798489058262769e+00 4.541482924811526800e+02 1.140281627588032279e+03 4.767766126029628765e-02 6.733380386943038642e-02 -6.335759776738434379e-01 6.453926954180667641e-01
-9.248556387851318838e-01 4.225300103071703006e+01 1.473382758449375052e+00 1.285929818759651955e+00 1.581174155394244508e+03 1.632833449449231921e+03 2.267750808217980085e-01 8.712195218436817878e-01 3.808284771844583916e-01 -9.154067473562108037e-02
-9.580389712569057359e-01 4.310112465745185517e+01 1.454437066716067317e+00 1.301935794031744420e+00 1.198161698980023857e+02 1.014610837706547670e+02 4.945514327732483117e-01 6.345287722311867551e-01 -7.237214419493069872e-01 7.265740103126411276e-01
-5.357315023809854360e-01 2.586095269428337673e+01 2.249788988707484005e+00 8.788103331334342627e-01 3.606178991684466695e+01 4.684671890777879526e+03 1.455879946379319556e-01 2.550374480275106603e-01 9.661645453440164122e-01 5.230489954338206626e-01
-8.432420774435906985e-01 4.116468683419479646e+01 1.709247740122505910e+00 1.117273294507691972e+00 3.821496897245108215e+01 6.371495428092270004e+02 6.877369929967594442e-02 1.428140605572582045e-01 -5.473453573207472944e-01 9.890091737241567538e-01
-9.266533625527788587e-01 4.420809717740319655e+01 1.937120831205381810e+00 9.988188579068025819e-01 3.612482986725289038e+02 4.856297391795091244e+03 3.490285365991958044e-01 9.745228803197810222e-03 3.281621454578556030e-01 -9.286926595259064054e-01
-8.021385852275905171e-01 3.787199554873554774e+01 1.537197098676565510e+00 1.233879343370927861e+00 7.827558921726866004e+01 2.522463025857362595e+02 8.186183798095253428e-02 4.111002273413409402e-01 -2.865089423807661850e-01 6.873727412172443707e-02
-9.254491567164486732e-01 4.228567356672702005e+01 1.573736131067228650e+00 1.206761008739995811e+00 1.085112610556578616e+01 1.646171909813754155e+03 3.375925250653672438e-01 2.344215405664309970e-01 -1.942686291942646304e-01 5.098652705784814110e-01
-9.167206842886687079e-01 4.141038981103880445e+01 1.810056163831773590e+00 1.060575407493185240e+00 3.225975295304380097e+00 1.915666971299389388e+03 3.247526434769077430e-01 8.577240426236609760e-02 2.851161738635098475e-01 -6.570066976335636744e-01
-7.969522922452817459e-01 3.650868599977162887e+01 1.682549651944285962e+00 1.133577919085532182e+00 1.222657129405665870e+02 1.159899029822803641e+03 1.080281256383695682e-01 2.352239178358963081e-02 2.931251761245021736e-01 5.456290919723852939e-01
-7.841215085712631705e-01 3.475843385545609010e+01 1.609102423034500129e+00 1.181773051551939790e+00 1.841454173824177190e+02 5.489761255907498025e+02 1.093483188652683569e-01 3.354928376531154943e-01 -1.439569643145009736e-01 1.844170453835099199e-01
-7.945967772984838806e-01 3.954426245761835901e+01 1.437912498662302641e+00 1.316211421530942172e+00 4.605708558070152776e+02 1.740932217892751055e+01 3.316340227604116508e-01 7.649187531741222790e-01 -2.309753857519188103e-01 7.489847119467850367e-02
-8.938037057425569643e-01 4.123363961320934834e+01 1.668134746788657141e+00 1.142490756491333581e+00 2.610170680797042451e+02 4.819027784189353270e+01 8.688353098585280820e-01 8.129584032075445332e-01 5.766693749855184709e-02 -8.286551112842775735e-02
-9.807461248064759385e-01 4.645706068188992788e+01 1.558384111991666821e+00 1.217931719699425930e+00 4.592985007009426681e+02 6.083201673015215647e+02 5.573130354737676484e-01 7.854583073081893019e-02 5.762861904891025677e-02 -4.894954488857125585e-01
-6.388315967549337282e-01 3.287398485541685034e+01 1.487529400371691457e+00 1.273721181856674933e+00 7.648600981713944691e+01 5.327073415069163502e+02 6.269896660572898961e-02 1.230486368102766265e-01 2.736646786325417913e-01 -1.521214504547272750e-01
-9.866827650772022062e-01 4.594088236804692116e+01 1.599813847510519249e+00 1.188163472856101910e+00 2.021034202720855149e+02 1.626822530168411959e+03 2.496000285673264513e-03 5.917060816192972750e-01 -3.975587124079351525e-02 4.703339744869724365e-02
-3.666106213725146556e-01 2.029797334989998703e+01 1.396306215344863322e+00 1.355286524927416192e+00 5.410088850814278203e+02 2.122151738604906086e+02 9.601580304361365115e-02 1.003175371140628269e-01 9.683883666703482773e-02 -1.168464042832299404e-01
-7.688775389891679968e-01 3.759089079900742547e+01 1.901515170047947123e+00 1.015181144025642856e+00 6.896673823711891771e+01 2.066214684820760965e+02 2.862724678523128063e-01 5.798628689850034990e-01 -1.865715840022500460e-01 5.672074072706306813e-01
