# radius mass k_2
1.074478018981329441e+01 2.000311871447575829e+00 2.754481261548806167e-02
1.071129548707139634e+01 2.006172429320953743e+00 2.686158076615132242e-02
1.067752124849170592e+01 2.011701612778254766e+00 2.619635419592272751e-02
1.064347164244174770e+01 2.016900661997302002e+00 2.554864237219874740e-02
1.060916099553777414e+01 2.021771093632465099e+00 2.491885580407563264e-02
1.057460081171445054e+01 2.026315175093041709e+00 2.430592947490996941e-02
1.053979992119753994e+01 2.030535696377068877e+00 2.371006257969457409e-02
1.050477216393177216e+01 2.034434957952880652e+00 2.313057919537289328e-02
1.046953254742368422e+01 2.038015467187495489e+00 2.256779379093043145e-02
1.043409268662291467e+01 2.041280375064097985e+00 2.202014764742682429e-02
1.039846172837606098e+01 2.044233138279907269e+00 2.148888820663406515e-02
1.036265431417353255e+01 2.046877019505392692e+00 2.097259759965491507e-02
1.032668493163662760e+01 2.049215517209826753e+00 2.047147138121701432e-02
1.029056437488081954e+01 2.051252595172528004e+00 1.998479802009503481e-02
1.025430294273854059e+01 2.052992357132955803e+00 1.951258043755351584e-02
1.021791631820806501e+01 2.054438807811343359e+00 1.905438855598097503e-02
1.018141790451577933e+01 2.055596221083215713e+00 1.860997131774166577e-02
1.014481736513940824e+01 2.056469062667673597e+00 1.817874128240123954e-02
1.010812818106592204e+01 2.057061833133455586e+00 1.776072421775318558e-02
1.007136514268588101e+01 2.057379107563460874e+00 1.735534152093844151e-02
1.003453903890478216e+01 2.057425690855504197e+00 1.696250982342561997e-02
9.997660636154977354e+00 2.057206465218802904e+00 1.658191220555158690e-02
9.960744889790674961e+00 2.056726458024483506e+00 1.621293463645123029e-02
9.923803381752952291e+00 2.055990819938576575e+00 1.585576969193782174e-02
9.886845739573988823e+00 2.055004715469971543e+00 1.550958268381199580e-02
9.849886952144451868e+00 2.053773492575402759e+00 1.517450629397696857e-02
9.812939396833483485e+00 2.052302565193773631e+00 1.484997549072472091e-02
9.776012857538775691e+00 2.050597215249915450e+00 1.453599061611572131e-02
9.739120667457532576e+00 2.048662928253587090e+00 1.423190495773013833e-02
9.702273234036907112e+00 2.046505142632346175e+00 1.393787599971101077e-02
9.665479793388561447e+00 2.044129216755969036e+00 1.365325086249825903e-02
9.628758422237122971e+00 2.041541167198082540e+00 1.337803568012108438e-02
9.592126305011452914e+00 2.038747076467695152e+00 1.311203393914754829e-02
9.555590744315797025e+00 2.035752380945631934e+00 1.285487395525103382e-02
9.519143311600460677e+00 2.032560988752396991e+00 1.260602693502418589e-02
9.482768557557875511e+00 2.029175942054036064e+00 1.236533906390295881e-02
9.446516694539280223e+00 2.025606398026328137e+00 1.213300432709366744e-02
9.410508437868822185e+00 2.021869715916217558e+00 1.190879503040637860e-02
9.374802272135084991e+00 2.017978046325349162e+00 1.169343299573085034e-02
9.339074969500634538e+00 2.013900063835087462e+00 1.148443138760734360e-02
