# radius mass k_2
1.166805568361776224e+01 8.599717202640753122e-01 1.197517889864268825e-01
1.166380434625767393e+01 8.740932788862968428e-01 1.193967459313407670e-01
1.165951105490765727e+01 8.883450259346734601e-01 1.189789082134165565e-01
1.165515243225653386e+01 9.027200702217313966e-01 1.184989971444642548e-01
1.165070586843641998e+01 9.172110360051913824e-01 1.179595397788297251e-01
1.164614957798728589e+01 9.318102830594982011e-01 1.173609114020603972e-01
1.164146267095835086e+01 9.465098890341150373e-01 1.167054390913650624e-01
1.163662514043243590e+01 9.613016697796986643e-01 1.159947647578994379e-01
1.163161773614487338e+01 9.761772501816848857e-01 1.152308810284770751e-01
1.162642227335660294e+01 9.911280049951745053e-01 1.144158103643195395e-01
1.162102135074025888e+01 1.006145186894794596e+00 1.135518589633036785e-01
1.161539860141600755e+01 1.021219878276202753e+00 1.126409187754181807e-01
1.160953852136329090e+01 1.036343067130830686e+00 1.116854784063447958e-01
1.160342657910072894e+01 1.051505679849099595e+00 1.106876713557154307e-01
1.159704914440556500e+01 1.066698613691055231e+00 1.096505219337243070e-01
1.159039353216126145e+01 1.081912809236637907e+00 1.085756213895489874e-01
1.158344784176189890e+01 1.097139288885495612e+00 1.074660228683041036e-01
1.157620108474248610e+01 1.112369180211900010e+00 1.063235050039610385e-01
1.156864297746405157e+01 1.127593859287613354e+00 1.051512267916842325e-01
1.156076402546368165e+01 1.142804950465876823e+00 1.039508842126906502e-01
1.155255535214127605e+01 1.157994336185304229e+00 1.027249695250840311e-01
1.154400917828087358e+01 1.173153485712833177e+00 1.014758209970028913e-01
1.153511869439956250e+01 1.188273755446154212e+00 1.002060555456935342e-01
1.152587797647783852e+01 1.203347046394379394e+00 9.891739834941359888e-02
1.151628159444024391e+01 1.218365861080114687e+00 9.761196976790594004e-02
1.150632483570292486e+01 1.233323455566012861e+00 9.629241773004525162e-02
1.149600353590435908e+01 1.248213909875471428e+00 9.496009711490420446e-02
1.148531368984226120e+01 1.263032199159207281e+00 9.361695172612848059e-02
1.147425150025392959e+01 1.277774314080301954e+00 9.226477500844273982e-02
1.146281305456873945e+01 1.292437370650837192e+00 9.090512739267676834e-02
1.145099410865766210e+01 1.307019713893216029e+00 8.953920741203448552e-02
1.143878972321452281e+01 1.321521057046444181e+00 8.816832553406432627e-02
1.142619400661190276e+01 1.335942601994990264e+00 8.679324270168868594e-02
1.141319968872668689e+01 1.350287150667805580e+00 8.541474709221325012e-02
1.139979769356071415e+01 1.364559307639958696e+00 8.403355989193832254e-02
1.138597657205058944e+01 1.378765556341680965e+00 8.264976813174014503e-02
1.137172659571910316e+01 1.392910343902777681e+00 8.126376453825269464e-02
