# radius mass k_2
1.171466707342569080e+01 2.217665527425513261e+00 3.059397488345408020e-02
1.168691113490376310e+01 2.231018657938491856e+00 2.963937804034622037e-02
1.165847886559283886e+01 2.243817974842496010e+00 2.871368097847933412e-02
1.162938258775215061e+01 2.256062717144105889e+00 2.781695011161959205e-02
1.159964592101495029e+01 2.267749420214255185e+00 2.694882561679277228e-02
1.156929108278736962e+01 2.278876150032429493e+00 2.610878265819418370e-02
1.153833652033842228e+01 2.289442932756336813e+00 2.529616825324038087e-02
1.150679773041999709e+01 2.299450867832170786e+00 2.451035586739811964e-02
1.147469067577051227e+01 2.308903104415761298e+00 2.375079126814987757e-02
1.144203106813341897e+01 2.317808011246403233e+00 2.301764421553181839e-02
1.140884736500505348e+01 2.326172063194413830e+00 2.230837148118805513e-02
1.137517129473113009e+01 2.333992648523972147e+00 2.162482227324433876e-02
1.134102235391773483e+01 2.341264101467046554e+00 2.096584864270273005e-02
1.130640738203030971e+01 2.347992536224004834e+00 2.033082599066441537e-02
1.127133857591877941e+01 2.354192990271416708e+00 1.971848689590489576e-02
1.123583784521489370e+01 2.359878210622303740e+00 1.912820858615783826e-02
1.119993954653912738e+01 2.365053849275848830e+00 1.855947643742295039e-02
1.116367470231156034e+01 2.369720907903424489e+00 1.801216271672869892e-02
1.112705857659183373e+01 2.373883122159223369e+00 1.748543727473540407e-02
1.109010009910683081e+01 2.377553818016514775e+00 1.697855754844340703e-02
1.105282449140709211e+01 2.380746380160484676e+00 1.649091600099603788e-02
1.101526442364161973e+01 2.383466311153754180e+00 1.602202908376079010e-02
1.097744354348457385e+01 2.385719034646726744e+00 1.557152314504417316e-02
1.093937825611560477e+01 2.387514425574242427e+00 1.513857994605986336e-02
1.090108679632360378e+01 2.388863427208451462e+00 1.472241182843090149e-02
1.086258831134406933e+01 2.389777001049642635e+00 1.432257590790401297e-02
1.082390392884755137e+01 2.390267237828427316e+00 1.393844058407431308e-02
1.078506392867580566e+01 2.390344152034566072e+00 1.356942682453094254e-02
1.074609579895246014e+01 2.390015047616839361e+00 1.321527219694111459e-02
1.070701514759672968e+01 2.389289429536576748e+00 1.287541206645000970e-02
1.066783444064963682e+01 2.388179496307366811e+00 1.254920657766392042e-02
1.062857321421591195e+01 2.386697817033347935e+00 1.223610532186070014e-02
1.058925515871572287e+01 2.384855913134549699e+00 1.193571611870824882e-02
1.054990118065306426e+01 2.382664886864362952e+00 1.164754066895887924e-02
1.051053902260524175e+01 2.380136094864670149e+00 1.137117123975914593e-02
1.047119931135986981e+01 2.377277867499104413e+00 1.110630120482064380e-02
1.043188527007429833e+01 2.374099484242707447e+00 1.085230272270224991e-02
1.039260563166001816e+01 2.370615347771891646e+00 1.060876914625028672e-02
1.035339426818543274e+01 2.366837150317900207e+00 1.037535178000534297e-02
1.031427496974639979e+01 2.362774479521128956e+00 1.015202046294554593e-02
1.027526447922691055e+01 2.358437715896043230e+00 9.938385072982442239e-03
1.023637658718996235e+01 2.353837162706650776e+00 9.734073904278229758e-03
1.019762148871299345e+01 2.348984158517782195e+00 9.538672943186832232e-03
1.015902044126506709e+01 2.343890845454558836e+00 9.351869090172906102e-03
1.012060464159736561e+01 2.338568069711941533e+00 9.173229015601686367e-03
1.008238638959736022e+01 2.333024591551658311e+00 9.002727231363147689e-03
1.004438249880187151e+01 2.327271725802409374e+00 8.839855699602919628e-03
1.000661378436111981e+01 2.321318646765671456e+00 8.684420479013759200e-03
9.969080064965076815e+00 2.315174784859611368e+00 8.536090268175745149e-03
9.931805391882280176e+00 2.308852170549445582e+00 8.394603449708640600e-03
9.894813913341401701e+00 2.302360606017159306e+00 8.259633906227034986e-03
9.858111039338730563e+00 2.295708712259951323e+00 8.131268679005366345e-03
9.821716748699214961e+00 2.288907274787554069e+00 8.008921614183133614e-03
9.785639587082281210e+00 2.281964521702986914e+00 7.892670632201998285e-03
9.749897398031846407e+00 2.274891479063333666e+00 7.782125998404046049e-03
9.714514995561495780e+00 2.267697690172724378e+00 7.677133327617090622e-03
9.679499600642493817e+00 2.260391057696987893e+00 7.577671021181748429e-03
9.644860102584221551e+00 2.252979853247213171e+00 7.483238753736469635e-03
9.610611754710518539e+00 2.245473741885232855e+00 7.394006342325678063e-03
9.576770970494751012e+00 2.237881395452527844e+00 7.309665748843209576e-03
9.543345194215408611e+00 2.230210630908790126e+00 7.229927858789645008e-03
9.510349405727909655e+00 2.222470323397664593e+00 7.154802318573587686e-03
9.477803445711579400e+00 2.214669758787080944e+00 7.084155828961702199e-03
9.445716817203360094e+00 2.206815925150150015e+00 7.017847059622120409e-03
9.414097539103069678e+00 2.198916016027570475e+00 6.955602299817619481e-03
9.382958461009554441e+00 2.190978251074727989e+00 6.897511337958244122e-03
9.352314408979371052e+00 2.183010389286997643e+00 6.843303198540636421e-03
9.322166582335539076e+00 2.175018154949081239e+00 6.792774879571490849e-03
9.292538820659373755e+00 2.167011602580998009e+00 6.746154340829348985e-03
9.263437949983401865e+00 2.158996419104900699e+00 6.703100027093345827e-03
9.234876032000153501e+00 2.150980015905734177e+00 6.663469288869384999e-03
9.206863974925207472e+00 2.142969282736788994e+00 6.627215740235481954e-03
9.179413485724351673e+00 2.134970933430393458e+00 6.594440355113797766e-03
9.152538170493732750e+00 2.126992553224644311e+00 6.564785351214160250e-03
