# radius mass k_2
1.155906187554738729e+01 1.702417353553978607e+00 5.867969181401065659e-02
1.154343825106881916e+01 1.719098339499893102e+00 5.732297713291865243e-02
1.152696985538505103e+01 1.735376163085660117e+00 5.598611947988594434e-02
1.150965131103086847e+01 1.751227972805152078e+00 5.467096953341211291e-02
1.149147681666548415e+01 1.766629788646744359e+00 5.337889326411680152e-02
1.147244054521747891e+01 1.781556733337034570e+00 5.211091641831111509e-02
1.145253704305568476e+01 1.795982920334787680e+00 5.086828951745459015e-02
1.143176120269341922e+01 1.809881599046107015e+00 4.965276409200495428e-02
1.141010848717479575e+01 1.823225512525425751e+00 4.846453010559254038e-02
1.138757525976756568e+01 1.835987109235758252e+00 4.730519090671296556e-02
1.136415943497324399e+01 1.848138838198704947e+00 4.617569681485858557e-02
1.133986016072950243e+01 1.859653403471232869e+00 4.507694253653744126e-02
1.131467924514262435e+01 1.870504092918245487e+00 4.400950473385369793e-02
1.128862064470037296e+01 1.880665367167295710e+00 4.297389805079284558e-02
1.126169148443555557e+01 1.890113227523424477e+00 4.197158157690036168e-02
1.123390246218888500e+01 1.898825418745900162e+00 4.100237303586053844e-02
1.120526798993320128e+01 1.906782102854584826e+00 4.006668264251171674e-02
1.117580713747845600e+01 1.913966124701117710e+00 3.916495299897320564e-02
1.114554342734821901e+01 1.920363424754586212e+00 3.829777863567569024e-02
1.111450546478901202e+01 1.925963371140053226e+00 3.746422279010920564e-02
1.108272672350596366e+01 1.930759150123883883e+00 3.666533749255972835e-02
1.105024457936268156e+01 1.934748496623256653e+00 3.590035900707348737e-02
1.101710095780132725e+01 1.937934008918739570e+00 3.516901316351392359e-02
1.098335214561760154e+01 1.940319874394657917e+00 3.447153930798654842e-02
1.094906271722047642e+01 1.941912227357214027e+00 3.380740373460959514e-02
1.091430209834113541e+01 1.942720772226631976e+00 3.317585256186637160e-02
1.087914563805731305e+01 1.942758864420424780e+00 3.257813605055034228e-02
1.084367608096854418e+01 1.942043729978564004e+00 3.201294155241646983e-02
1.080798202368380068e+01 1.940596300252358297e+00 3.148015469144639644e-02
