# radius mass k_2
1.467826282266559268e+01 1.128290714972568498e+00 1.312134370067737088e-01
1.468810250503180193e+01 1.154181506292882631e+00 1.302818501142079533e-01
1.469792197566242997e+01 1.180414494898972100e+00 1.292547062055156570e-01
1.470768549585650575e+01 1.206994090207365700e+00 1.281361782386525039e-01
1.471735966791118067e+01 1.233914000470415662e+00 1.269307125623611865e-01
1.472691481678837100e+01 1.261166899186890067e+00 1.256432924112887706e-01
1.473632398417786682e+01 1.288744471403056258e+00 1.242794851752207358e-01
1.474556195717472562e+01 1.316637490452221781e+00 1.228434707218715310e-01
1.475460447207734660e+01 1.344835911077788104e+00 1.213402559673666670e-01
1.476342754523906819e+01 1.373328995558489751e+00 1.197746057140967602e-01
1.477200683032645578e+01 1.402105476661918315e+00 1.181507488813402368e-01
1.478031707898237457e+01 1.431153784096644621e+00 1.164731363832572780e-01
1.478833157155326461e+01 1.460462270300619592e+00 1.147449584997168731e-01
1.479602148779880011e+01 1.490019517593256237e+00 1.129703940013390973e-01
1.480335539073382556e+01 1.519814659158276182e+00 1.111518433303288339e-01
1.481029833040776644e+01 1.549837001871720243e+00 1.092932028775002729e-01
1.481680914291728968e+01 1.580063973270707578e+00 1.073958377270799180e-01
1.482284273465818991e+01 1.610462531436976485e+00 1.054635489863273573e-01
1.482835413758983378e+01 1.640999716743692050e+00 1.034983447491941294e-01
1.483329922876397866e+01 1.671643337764129322e+00 1.015013108819477206e-01
1.483763539921425512e+01 1.702362341586007854e+00 9.947332452542151371e-02
1.484132153822261024e+01 1.733127190575237231e+00 9.741275377818589543e-02
1.484431849728388819e+01 1.763910265082413886e+00 9.531679805834269992e-02
1.484658896052513377e+01 1.794686275657907837e+00 9.320840522096664194e-02
1.484809725526284296e+01 1.825432688747706367e+00 9.110682123361557583e-02
1.484880915869643303e+01 1.856130221903835809e+00 8.902123749298189448e-02
1.484869156405966706e+01 1.886763225033478708e+00 8.695912875715237911e-02
1.484771202440624194e+01 1.917314691444827801e+00 8.490551760169076645e-02
1.484583942672780132e+01 1.947751842396627575e+00 8.285916592144478010e-02
1.484304571432095265e+01 1.978039129357292758e+00 8.082346422688076182e-02
1.483930451443892551e+01 2.008141990138843092e+00 7.880169462399701230e-02
1.483459151604756521e+01 2.038027190418600476e+00 7.679616962457345986e-02
1.482888391502256553e+01 2.067663123518258761e+00 7.481020316327446906e-02
1.482216005828338190e+01 2.097020130084112921e+00 7.284564733150869498e-02
1.481439891317236857e+01 2.126070828967880466e+00 7.090454926641003019e-02
1.480557944580479202e+01 2.154790458846670198e+00 6.898860175472404377e-02
1.479567981296793810e+01 2.183157130530290591e+00 6.709918756911531501e-02
1.478467939785205054e+01 2.211145490899179666e+00 6.523647165262132230e-02
1.477256255330035550e+01 2.238720547674687200e+00 6.340285570305330409e-02
1.475931607976429305e+01 2.265848363765771367e+00 6.159972117080373538e-02
1.474492857917708477e+01 2.292497676021911790e+00 5.982827178521697709e-02
1.472939008933072813e+01 2.318640182624763124e+00 5.809186054472495475e-02
1.471269149753788419e+01 2.344250798463693108e+00 5.639179884465691378e-02
1.469482373350121840e+01 2.369307902969214119e+00 5.472850369415224042e-02
1.467577701862746942e+01 2.393793569074863292e+00 5.310261665504374673e-02
1.465554196460105274e+01 2.417690900851734881e+00 5.151436759922219805e-02
1.463411829590468116e+01 2.440974909767473555e+00 4.996422206952667866e-02
1.461150983583500285e+01 2.463620714907857501e+00 4.845374730726963175e-02
1.458772166644808266e+01 2.485606661035751674e+00 4.698239137456756281e-02
1.456275936483264744e+01 2.506914509477514930e+00 4.555112038921049766e-02
1.453662788322127675e+01 2.527529496806180553e+00 4.416008627572261258e-02
1.450933062281686325e+01 2.547440473651442439e+00 4.280879307653654570e-02
1.448087027674857197e+01 2.566638089413662449e+00 4.149722098732364084e-02
1.445126075285472034e+01 2.585107619984710947e+00 4.022535799763336806e-02
1.442052016323068031e+01 2.602834999531359550e+00 3.899361931745649879e-02
1.438866630466341157e+01 2.619809535867184458e+00 3.779977799076673223e-02
1.435571558114768287e+01 2.636023910447829799e+00 3.664442289016958676e-02
1.432168145854002539e+01 2.651474121650758242e+00 3.552591750677488308e-02
1.428657534988621869e+01 2.666158368629189201e+00 3.444385389046149964e-02
1.425042069188739369e+01 2.680071281033792552e+00 3.339748920930404874e-02
1.421324560090781652e+01 2.693208155107090107e+00 3.238660599759131398e-02
1.417507654779874926e+01 2.705567310201036690e+00 3.141048217835763073e-02
1.413593641178798777e+01 2.717150038368383314e+00 3.046790568076636341e-02
1.409584330427029109e+01 2.727960192487229651e+00 2.955848333167121131e-02
1.405482266200184505e+01 2.738000667316441206e+00 2.868087456106770128e-02
1.401290976241872421e+01 2.747273598991617494e+00 2.783471617019625532e-02
1.397013711488376586e+01 2.755783682277807678e+00 2.701904109348779795e-02
1.392653210348812287e+01 2.763538008435356907e+00 2.623266010787761102e-02
1.388211719347787998e+01 2.770545378872564246e+00 2.547475613663355981e-02
1.383692666474581934e+01 2.776813542594374074e+00 2.474500147108722042e-02
1.379099962883928931e+01 2.782350938574116750e+00 2.404264143347897842e-02
1.374436976198243165e+01 2.787167932036899831e+00 2.336704049810501074e-02
1.369706337086384451e+01 2.791276330344181211e+00 2.271721186263652922e-02
1.364911334899864492e+01 2.794687862904463582e+00 2.209225089059243044e-02
1.360056172203923275e+01 2.797414477719284420e+00 2.149184497428723722e-02
1.355144438278722241e+01 2.799469441645437318e+00 2.091465724851784488e-02
1.350178926891559783e+01 2.800866828363205219e+00 2.036042630388561897e-02
1.345163287937153029e+01 2.801620853583602688e+00 1.982811278108306124e-02
1.340101722929910544e+01 2.801746283402314130e+00 1.931713656761720882e-02
1.334997629363475191e+01 2.801258534425493441e+00 1.882670107924296760e-02
1.329853950803748042e+01 2.800173257331066257e+00 1.835620051270538469e-02
1.324674928356535197e+01 2.798506641589844524e+00 1.790490659740066187e-02
1.319464377233684438e+01 2.796275195412512904e+00 1.747242645438087591e-02
1.314225253278932115e+01 2.793495235760366402e+00 1.705788346744674389e-02
1.308961473809302056e+01 2.790183670518130654e+00 1.666062718657894751e-02
1.303676950167320037e+01 2.786357787951641019e+00 1.627992334953698439e-02
1.298374623820250306e+01 2.782034350539787315e+00 1.591518213831260783e-02
1.293058268375259168e+01 2.777230874537415684e+00 1.556587161132917674e-02
1.287731726121930542e+01 2.771965104399873425e+00 1.523116782317435365e-02
1.282397976161955278e+01 2.766253829977839640e+00 1.491078272043239172e-02
1.277060936998545593e+01 2.760114739849923282e+00 1.460432428046597869e-02
1.271724116293104956e+01 2.753565119892599888e+00 1.431101779957099328e-02
1.266390559595746268e+01 2.746621615797712579e+00 1.403035406064600046e-02
1.261064043550141101e+01 2.739302012897608662e+00 1.376212438620447003e-02
1.255747421895185312e+01 2.731622696690202190e+00 1.350576714146688694e-02
1.250444048011040366e+01 2.723600943167674870e+00 1.326081973149621437e-02
1.245157220460672143e+01 2.715253738002726625e+00 1.302680063092303761e-02
1.239889937465905234e+01 2.706597370650257517e+00 1.280337404476046027e-02
1.234645597549000939e+01 2.697648693753670557e+00 1.259002229661116898e-02
1.229426866549352404e+01 2.688423344757112421e+00 1.238649852457883969e-02
1.224237025205740359e+01 2.678937947755147597e+00 1.219228984941298638e-02
1.219078880041195667e+01 2.669207989064536157e+00 1.200709382541849217e-02
1.213955621342299196e+01 2.659249446707478981e+00 1.183102189144990234e-02
1.208869820609948142e+01 2.649077048808386348e+00 1.166363182029104065e-02
1.203824302868790319e+01 2.638706071218808624e+00 1.150486577096292325e-02
1.198821503412712630e+01 2.628150917897126071e+00 1.135434816885829215e-02
1.193864252592378961e+01 2.617426552683755236e+00 1.121158664751979034e-02
1.188955058405655762e+01 2.606547019859706271e+00 1.107646510639593261e-02
1.184096645718982543e+01 2.595526616382434426e+00 1.094865456714200214e-02
1.179291291388310547e+01 2.584378678081499903e+00 1.082802478131515700e-02
1.174541487854000366e+01 2.573116780190505715e+00 1.071402494567251854e-02
1.169849626816353805e+01 2.561754129429390847e+00 1.060675188739743785e-02
1.165217972460583518e+01 2.550303428580005249e+00 1.050595305177466632e-02
1.160648711962972790e+01 2.538777165140636782e+00 1.041133916648750990e-02
1.156143846574914491e+01 2.527187277226100370e+00 1.032271791890469227e-02
1.151705511675293714e+01 2.515545905323842035e+00 1.023999955400023594e-02
1.147335822374524206e+01 2.503864903532012409e+00 1.016299561475249649e-02
1.143036789142788656e+01 2.492155668276142322e+00 1.009152343223396371e-02
1.138810267808354659e+01 2.480429151943531974e+00 1.002534706744356852e-02
1.134657931970841460e+01 2.468695877420699070e+00 9.964443527937674391e-03
1.130581491249664516e+01 2.456966301913661166e+00 9.908669706011589626e-03
1.126582892881230613e+01 2.445251272234183038e+00 9.857869460040913356e-03
1.122663824757282391e+01 2.433560745435543460e+00 9.811969490880216929e-03
1.118825575584235388e+01 2.421903765115923424e+00 9.770731058959421927e-03
1.115069693107547799e+01 2.410290015428900645e+00 9.734202372213576759e-03
1.111397716002883485e+01 2.398728801299451874e+00 9.702144038455982542e-03
1.107810926211507230e+01 2.387228910508109703e+00 9.674449939426963199e-03
1.104310566429751539e+01 2.375798817705859101e+00 9.651098449033711571e-03
1.100897829271452544e+01 2.364446864582576691e+00 9.631882690080304996e-03
1.097573905355167589e+01 2.353181315837381771e+00 9.616957745294776178e-03
1.094339894706664040e+01 2.342010091684392226e+00 9.605972846360086997e-03
1.091196825085043010e+01 2.330940885685437447e+00 9.598819299208206576e-03
1.088145596049225006e+01 2.319980919451454682e+00 9.595740635928216508e-03
1.085187479740555005e+01 2.309138432411592223e+00 9.594894513168115285e-03
1.082321262411564256e+01 2.298414047897980872e+00 9.600627891095413202e-03
